Uncertainty,Industry,Beta,P_value
CPU,NoDur,-0.002643,0.2783
CPU,Durbl,0.006934,0.1794
CPU,Manuf,2.34e-4,0.9391
CPU,Enrgy,-0.002197,0.5747
CPU,HiTec,0.002954,0.4736
CPU,Telcm,-0.004761,0.1306
CPU,Shops,-2.21e-4,0.9406
CPU,Hlth,3.15e-4,0.9095
CPU,Utils,-2.9e-4,0.9058
CPU,Other,-0.001185,0.7123
UCT,NoDur,-5.45e-4,0.9067
UCT,Durbl,0.012955,0.2152
UCT,Manuf,-0.003481,0.5681
UCT,Enrgy,1.87e-4,0.982
UCT,HiTec,0.006525,0.4397
UCT,Telcm,-0.00338,0.6008
UCT,Shops,0.00547,0.3358
UCT,Hlth,0.002063,0.6957
UCT,Utils,-5.19e-4,0.9191
UCT,Other,-0.001422,0.8258
